MEETVERANTWOORDELIJKE,NETBEHEERDER,NETGEBIED,STRAATNAAM,POSTCODE_VAN,POSTCODE_TOT,WOONPLAATS,LANDCODE,PRODUCTSOORT,VERBRUIKSSEGMENT,Aantal Aansluitingen,%Leveringsrichting,%Fysieke status,%Defintieve aansl (NRM),%Soort aansluiting,Soort aansluiting Naam,SJV,%SJV laag tarief,%Slimme Meter,Gemiddeld aantal telwielen
Liander N.V.,GAS Liander,,Kromme Waal,1011BS,1011BS,AMSTERDAM,NL,GAS,KVB,32,1.0,0.5938,1.0,0.75,G4,1838,0.0,0.40630000000000005,
Liander N.V.,Liander N.V. (NW),,Kromme Waal,1011BT,1011BT,AMSTERDAM,NL,ELK,KVB,31,0.9677,0.9355,1.0,0.48,3x25,2337,0.45159999999999995,0.45159999999999995,1.1
Liander N.V.,GAS Liander,,Kromme Waal,1011BT,1011BT,AMSTERDAM,NL,GAS,KVB,27,1.0,0.963,1.0,0.89,G4,1549,0.0,0.44439999999999996,
,Liander N.V. (NW),,Kromme Waal,1011BV,1011BV,AMSTERDAM,NL,ELK,KVB,23,1.0,0.6522,1.0,0.61,3x25,2309,0.6087,0.5652,1
,GAS Liander,,Kromme Waal,1011BV,1011BV,AMSTERDAM,NL,GAS,KVB,21,1.0,0.6667000000000001,1.0,0.67,G4,1628,0.0,0.5714,
,Liander N.V. (NW),,Kromme Waal,1011BW,1011BW,AMSTERDAM,NL,ELK,KVB,33,1.0,0.9697,1.0,0.64,1x25,2280,0.7576,0.7576,1
,GAS Liander,,Kromme Waal,1011BW,1011BW,AMSTERDAM,NL,GAS,KVB,27,1.0,0.963,1.0,1.0,G4,1079,0.0,0.7406999999999999,
,Liander N.V. (NW),,Oude Waal,1011BX,1011BX,AMSTERDAM,NL,ELK,KVB,22,1.0,1.0,1.0,0.82,1x25,1486,0.9545,0.9545,2
,GAS Liander,,Oude Waal,1011BX,1011BX,AMSTERDAM,NL,GAS,KVB,20,1.0,1.0,1.0,1.0,G4,945,0.0,0.95,
Liander N.V.,Liander N.V. (NW),,Oude Waal,1011BZ,1011BZ,AMSTERDAM,NL,ELK,KVB,28,0.9643,0.9286,1.0,0.43,1x25,3793,0.7857,0.7857,1
,GAS Liander,,Oude Waal,1011BZ,1011BZ,AMSTERDAM,NL,GAS,KVB,25,1.0,1.0,1.0,0.8,G4,1298,0.0,0.84,
Liander N.V.,Liander N.V. (NW),,Oude Waal,1011CA,1011CA,AMSTERDAM,NL,ELK,KVB,38,1.0,0.5789,1.0,0.53,3x25,1810,0.5526,0.5526,1
Liander N.V.,GAS Liander,,Oude Waal,1011CA,1011CA,AMSTERDAM,NL,GAS,KVB,24,1.0,0.7917000000000001,1.0,0.79,G4,1320,0.0,0.75,
Liander N.V.,Liander N.V. (NW),,Oude Waal,1011CB,1011CB,AMSTERDAM,NL,ELK,KVB,25,1.0,0.8,1.0,0.4,1x35,2300,0.76,0.76,1
,GAS Liander,,Oude Waal,1011CB,1011CB,AMSTERDAM,NL,GAS,KVB,18,1.0,0.9444,1.0,1.0,G4,1451,0.0,0.9444,
,Liander N.V. (NW),,Oude Waal,1011CC,1011CC,AMSTERDAM,NL,ELK,KVB,21,1.0,0.9048,1.0,0.48,1x25,1971,0.619,0.5714,1
,GAS Liander,,Oude Waal,1011CC,1011CC,AMSTERDAM,NL,GAS,KVB,19,1.0,0.8946999999999999,1.0,0.95,G4,1552,0.0,0.5263,
,GAS Liander,,Oude Waal,1011CD,1011CD,AMSTERDAM,NL,GAS,KVB,16,1.0,1.0,1.0,0.94,G4,1546,0.0,0.875,
Liander N.V.,Liander N.V. (NW),,Recht Boomssloot  94 to,1011CD,1011CD,AMSTERDAM,NL,ELK,KVB,19,1.0,0.9473999999999999,1.0,0.63,1x25,2321,0.8946999999999999,0.8421,1.5
Liander N.V.,Liander N.V. (NW),,Oude Waal,1011CE,1011CE,AMSTERDAM,NL,ELK,KVB,12,0.8332999999999999,0.75,1.0,0.42,3x25,2400,0.5,0.5832999999999999,1.5
,GAS Liander,,Oude Waal,1011CE,1011CH,AMSTERDAM,NL,GAS,KVB,34,1.0,0.9706,1.0,0.88,G4,2105,0.0,0.2647,
Liander N.V.,Liander N.V. (NW),,Oude Waal AB,1011CG,1011CH,AMSTERDAM,NL,ELK,KVB,28,1.0,0.9286,1.0,0.36,1x35,10844,0.2143,0.07139999999999999,1.2
,Liander N.V. (NW),,Binnen Bantammerstraat,1011CJ,1011CJ,AMSTERDAM,NL,ELK,KVB,16,1.0,1.0,1.0,0.75,1x25,4514,0.25,0.1875,1.1
,GAS Liander,,Binnen Bantammerstraat,1011CJ,1011CJ,AMSTERDAM,NL,GAS,KVB,15,1.0,1.0,1.0,1.0,G4,1166,0.0,0.1333,
,Liander N.V. (NW),,Binnen Bantammerstraat,1011CK,1011CK,AMSTERDAM,NL,ELK,KVB,14,1.0,1.0,1.0,0.79,1x25,2412,0.07139999999999999,0.07139999999999999,1
,GAS Liander,,Binnen Bantammerstraat,1011CK,1011CK,AMSTERDAM,NL,GAS,KVB,12,1.0,1.0,1.0,1.0,G4,1256,0.0,0.0833,
,Liander N.V. (NW),,Binnen Bantammerstraat,1011CL,1011CL,AMSTERDAM,NL,ELK,KVB,10,1.0,1.0,1.0,0.8,1x25,1649,0.1,0.1,1
Liander N.V.,GAS Liander,,Binnen Bantammerstraat,1011CL,1011CM,AMSTERDAM,NL,GAS,KVB,68,1.0,0.9118,1.0,0.94,G4,1175,0.0,0.4265,
Liander N.V.,Liander N.V. (NW),,Nieuwe Jonkerstraat,1011CM,1011CM,AMSTERDAM,NL,ELK,KVB,73,1.0,0.8219,1.0,0.36,3x25,2492,0.5068,0.47950000000000004,1
,Liander N.V. (NW),,Nieuwe Ridderstraat,1011CN,1011CN,AMSTERDAM,NL,ELK,KVB,16,1.0,0.8125,1.0,0.63,3x25,4634,0.6875,0.5,1.2
,GAS Liander,,Nieuwe Ridderstraat,1011CN,1011CN,AMSTERDAM,NL,GAS,KVB,10,1.0,0.9,1.0,0.9,G4,2380,0.0,0.6,
Liander N.V.,Liander N.V. (NW),,Nieuwe Ridderstraat,1011CP,1011CR,AMSTERDAM,NL,ELK,KVB,25,1.0,0.92,1.0,0.48,1x25,2203,0.44,0.4,1
,GAS Liander,,Nieuwe Ridderstraat,1011CP,1011CR,AMSTERDAM,NL,GAS,KVB,20,1.0,1.0,1.0,0.9,G4,1590,0.0,0.4,
,Liander N.V. (NW),,Recht Boomssloot,1011CS,1011CS,AMSTERDAM,NL,ELK,KVB,26,1.0,0.9615,1.0,0.69,1x25,1784,0.1923,0.1923,1
,GAS Liander,,Recht Boomssloot,1011CS,1011CS,AMSTERDAM,NL,GAS,KVB,22,1.0,1.0,1.0,0.86,G4,1410,0.0,0.1364,
Liander N.V.,Liander N.V. (NW),,Recht Boomssloot,1011CT,1011CT,AMSTERDAM,NL,ELK,KVB,18,1.0,0.8889,1.0,0.44,3x25,2435,0.0,0.0,1
Liander N.V.,GAS Liander,,Recht Boomssloot,1011CT,1011CT,AMSTERDAM,NL,GAS,KVB,17,1.0,0.9412,1.0,1.0,G4,1311,0.0,0.0,
,Liander N.V. (NW),,Recht Boomssloot,1011CV,1011CV,AMSTERDAM,NL,ELK,KVB,19,1.0,1.0,1.0,0.53,1x25,1539,0.36840000000000006,0.36840000000000006,1.1
,GAS Liander,,Recht Boomssloot,1011CV,1011CV,AMSTERDAM,NL,GAS,KVB,18,1.0,1.0,1.0,1.0,G4,1054,0.0,0.3889,
,Liander N.V. (NW),,Recht Boomssloot,1011CW,1011CW,AMSTERDAM,NL,ELK,KVB,15,0.9333,0.9333,1.0,0.53,1x25,2090,0.1333,0.1333,1
,GAS Liander,,Recht Boomssloot,1011CW,1011CW,AMSTERDAM,NL,GAS,KVB,13,1.0,1.0,1.0,1.0,G4,1010,0.0,0.07690000000000001,
,Liander N.V. (NW),,Recht Boomssloot,1011CX,1011CX,AMSTERDAM,NL,ELK,KVB,19,1.0,1.0,1.0,0.68,1x25,2615,0.0526,0.0526,1
,GAS Liander,,Recht Boomssloot,1011CX,1011CX,AMSTERDAM,NL,GAS,KVB,19,1.0,1.0,1.0,0.95,G4,1007,0.0,0.0526,
,Liander N.V. (NW),,Recht Boomssloot,1011CZ,1011CZ,AMSTERDAM,NL,ELK,KVB,22,0.8181999999999999,0.8636,1.0,0.59,1x25,2341,0.2273,0.2273,1.1
,GAS Liander,,Recht Boomssloot,1011CZ,1011CZ,AMSTERDAM,NL,GAS,KVB,19,1.0,1.0,1.0,0.95,G4,1235,0.0,0.2632,
,Liander N.V. (NW),,Lastageweg,1011DB,1011DB,AMSTERDAM,NL,ELK,KVB,10,1.0,1.0,1.0,0.9,1x25,4994,0.2,0.1,1.1
,GAS Liander,,Lastageweg,1011DB,1011DD,AMSTERDAM,NL,GAS,KVB,109,1.0,0.9725,1.0,0.98,G4,885,0.0,0.8898999999999999,
,Liander N.V. (NW),,J.W. Siebbeleshof,1011DC,1011DD,AMSTERDAM,NL,ELK,KVB,127,1.0,0.9684999999999999,1.0,0.9,1x35,3945,0.9684999999999999,0.9606,2
,Liander N.V. (NW),,W Frederik Hermansstr,1011DG,1011DG,AMSTERDAM,NL,ELK,KVB,87,1.0,0.9884999999999999,1.0,0.93,1x35,3520,1.0,0.9884999999999999,
,Liander N.V. (NW),,Oosterdoksstraat,1011DK,1011DL,AMSTERDAM,NL,ELK,KVB,68,1.0,0.9265000000000001,1.0,0.76,1x35,5901,0.5146999999999999,0.5,1
,GAS Liander,,Oosterdokskade,1011DL,1011EA,AMSTERDAM,NL,GAS,KVB,46,1.0,0.9565,1.0,0.85,G4,1797,0.0,0.3261,
Liander N.V.,Liander N.V. (NW),,Dijkdwarsstraat,1011DZ,1011EA,AMSTERDAM,NL,ELK,KVB,52,1.0,0.8077,1.0,0.67,1x25,2787,0.3077,0.2692,1.1
,Liander N.V. (NW),,Recht Boomssloot,1011EB,1011EB,AMSTERDAM,NL,ELK,KVB,24,1.0,1.0,1.0,0.83,1x25,1687,0.6667000000000001,0.625,1.1
,GAS Liander,,Recht Boomssloot,1011EB,1011EB,AMSTERDAM,NL,GAS,KVB,21,1.0,1.0,1.0,1.0,G4,845,0.0,0.5714,
Liander N.V.,Liander N.V. (NW),,Recht Boomssloot,1011EC,1011EC,AMSTERDAM,NL,ELK,KVB,19,1.0,0.8946999999999999,1.0,0.47,1x25,7251,0.21050000000000002,0.0526,1.2
Liander N.V.,GAS Liander,,Recht Boomssloot,1011EC,1011EC,AMSTERDAM,NL,GAS,KVB,18,1.0,0.8889,1.0,0.67,G4,3529,0.0,0.0556,
,Liander N.V. (NW),,Recht Boomssloot,1011ED,1011ED,AMSTERDAM,NL,ELK,KVB,14,1.0,1.0,1.0,0.86,1x25,1554,0.2857,0.2857,1
,GAS Liander,,Recht Boomssloot,1011ED,1011ED,AMSTERDAM,NL,GAS,KVB,12,1.0,1.0,1.0,0.92,G4,1010,0.0,0.16670000000000001,
,Liander N.V. (NW),,Montelbaanstraat,1011EE,1011EE,AMSTERDAM,NL,ELK,KVB,16,1.0,1.0,1.0,1.0,1x25,1681,0.0,0.0,1
,GAS Liander,,Montelbaanstraat,1011EE,1011EE,AMSTERDAM,NL,GAS,KVB,16,1.0,1.0,1.0,1.0,G4,877,0.0,0.0,
,Liander N.V. (NW),,Montelbaanstraat,1011EG,1011EG,AMSTERDAM,NL,ELK,KVB,37,1.0,0.9189,1.0,0.49,1x25,3164,0.4054,0.3784,1
,GAS Liander,,Montelbaanstraat,1011EG,1011EG,AMSTERDAM,NL,GAS,KVB,21,1.0,0.9523999999999999,1.0,0.95,G4,1362,0.0,0.047599999999999996,
,Liander N.V. (NW),,Geldersekade,1011EH,1011EH,AMSTERDAM,NL,ELK,KVB,40,1.0,0.925,1.0,0.48,1x25,3311,0.575,0.55,1.2
,GAS Liander,,Geldersekade,1011EH,1011EH,AMSTERDAM,NL,GAS,KVB,34,1.0,0.9412,1.0,0.91,G4,1346,0.0,0.5882000000000001,
Liander N.V.,Liander N.V. (NW),,Geldersekade,1011EJ,1011EJ,AMSTERDAM,NL,ELK,KVB,46,1.0,0.8913,1.0,0.39,1x25,5872,0.3478,0.2826,1.1
,GAS Liander,,Geldersekade,1011EJ,1011EJ,AMSTERDAM,NL,GAS,KVB,34,1.0,1.0,1.0,0.94,G4,1527,0.0,0.29410000000000003,
,GAS Liander,,Geldersekade,1011EK,1011EK,AMSTERDAM,NL,GAS,KVB,23,1.0,0.9129999999999999,1.0,0.87,G4,2851,0.0,0.43479999999999996,
Liander N.V.,Liander N.V. (NW),,geldersekd,1011EK,1011EK,AMSTERDAM,NL,ELK,KVB,27,1.0,0.963,1.0,0.33,3x25,6258,0.5185,0.44439999999999996,1.2
Liander N.V.,Liander N.V. (NW),,Geldersekade,1011EL,1011EL,AMSTERDAM,NL,ELK,KVB,48,1.0,0.8542000000000001,1.0,0.46,1x25,4994,0.3333,0.22920000000000001,1.1
Liander N.V.,GAS Liander,,Geldersekade,1011EL,1011EL,AMSTERDAM,NL,GAS,KVB,37,1.0,0.8919,1.0,0.89,G4,1220,0.0,0.2432,
Liander N.V.,Liander N.V. (NW),,Geldersekade,1011EM,1011EM,AMSTERDAM,NL,ELK,KVB,23,1.0,0.8695999999999999,1.0,0.48,1x25,4603,0.39130000000000004,0.3478,1.2
,GAS Liander,,Geldersekade,1011EM,1011EM,AMSTERDAM,NL,GAS,KVB,15,1.0,0.9333,1.0,0.8,G4,2491,0.0,0.2667,
Liander N.V.,Liander N.V. (NW),,Geldersekade,1011EN,1011EN,AMSTERDAM,NL,ELK,KVB,30,1.0,0.9667,1.0,0.63,1x25,5893,0.3,0.23329999999999998,1.2
,GAS Liander,,Geldersekade,1011EN,1011EN,AMSTERDAM,NL,GAS,KVB,25,1.0,1.0,1.0,0.92,G4,2589,0.0,0.2,
,Liander N.V. (NW),,Waalsteeg,1011ER,1011ER,AMSTERDAM,NL,ELK,KVB,10,1.0,1.0,1.0,0.4,1x25,2723,0.5,0.5,1
,GAS Liander,,Waalsteeg,1011ER,1011ER,AMSTERDAM,NL,GAS,KVB,10,1.0,1.0,1.0,1.0,G4,1588,0.0,0.5,
,Liander N.V. (NW),,Koningsstraat,1011ES,1011ET,AMSTERDAM,NL,ELK,KVB,42,1.0,1.0,1.0,0.67,1x25,4984,0.4524,0.381,1.2
,GAS Liander,,Koningsstraat,1011ES,1011ET,AMSTERDAM,NL,GAS,KVB,38,1.0,1.0,1.0,0.97,G4,1444,0.0,0.36840000000000006,
,Liander N.V. (NW),,Koningsstraat,1011EV,1011EW,AMSTERDAM,NL,ELK,KVB,47,1.0,1.0,1.0,0.47,1x35,3681,0.3404,0.3404,1
,GAS Liander,,Koningsstraat,1011EV,1011EW,AMSTERDAM,NL,GAS,KVB,44,1.0,0.9773000000000001,1.0,0.98,G4,1243,0.0,0.3182,
