volgnr,lat,lon,kwp
369,52.352379,4.813825,0
370,52.354593,4.819962,2258
371,52.380589,4.830395,9360
372,52.35261,4.773708,1920
373,52.348841,4.909869,2400
374,52.390688,4.78727,6720
375,52.323962,4.98443,2258
376,52.327256,4.978004,2258
377,52.362017,4.93511,7680
378,52.35376,4.82053,2258
379,52.303635,4.969645,2258
380,52.37125,4.940493,1920
381,52.303072,4.96811,2258
382,52.365245,4.98548,1920
383,52.35424,4.77963,2258
384,52.343535,4.809977,2258
385,52.361451,4.935072,8400
386,52.356187,4.935859,1200
387,52.351723,4.806495,2258
388,52.353944,4.927486,12000
389,52.319881,4.963713,2258
390,52.381465,4.875136,17760
391,52.351012,5.002516,2258
392,52.350819,4.77159,2258
393,52.348491,4.93513,2258
394,52.347589,4.924881,2258
395,52.374956,4.821332,2258
396,52.352929,4.939386,2258
397,52.350321,4.817462,2258
398,52.352694,4.784847,2258
399,52.327605,4.982593,2258
400,52.407324,4.923568,2258
401,52.322037,4.981191,2258
402,52.378514,4.791782,0
403,52.376859,4.851721,2160
404,52.411125,4.901013,2258
405,52.395146,4.873582,4800
406,52.388365,4.955848,2258
407,52.387065,4.900836,6000
408,52.327079,4.860403,2258
409,52.352733,4.847036,1920
410,52.410945,4.896679,2258
411,52.382738,4.795177,2258
412,52.353141,4.924486,2258
413,52.327278,4.981803,2258
414,52.3073,4.961722,2258
415,52.323236,4.942413,3600
416,52.395241,4.9296,7920
417,52.365752,4.83826,10080
418,52.327059,4.980749,2258
419,52.312827,4.949233,80160
420,52.358954,4.822255,2258
421,52.345621,4.874727,2258
422,52.408178,4.930672,2258
423,52.292093,4.979515,2258
424,52.352132,4.79648,2258
425,52.361454,4.935865,13680
426,52.351508,4.864429,2258
427,52.369128,4.94514,13200
428,52.386589,4.949402,2258
429,52.327928,4.979773,2258
430,52.370751,4.941629,2258
431,52.303405,4.96821,2258
432,52.344888,4.886109,2258
433,52.364097,4.940874,15360
434,52.344045,4.805979,2258
435,52.391969,4.924772,2258
436,52.327213,4.978415,2258
437,52.400957,4.913511,2258
438,52.383867,4.829869,2258
439,52.299412,4.969992,2258
440,52.371422,4.940859,2640
441,52.343152,4.862986,2258
442,52.326894,4.977289,2258
443,52.349551,4.869046,1680
444,52.343251,4.814486,2258
445,52.360956,4.976813,2258
446,52.346333,4.80137,2258
447,52.367571,4.835315,10800
448,52.382204,4.800001,5760
449,52.34273,4.812732,2258
450,52.343207,4.791037,2258
451,52.34088,4.805712,2258
452,52.307395,4.938759,49440
453,52.383362,4.806875,2258
454,52.361845,4.854574,5040
455,52.300947,4.998492,2258
456,52.346369,4.7853,2258
457,52.321384,4.961704,2258
458,52.346355,4.861789,1440
459,52.3546,4.934467,1440
460,52.393928,4.931685,2258
461,52.353877,4.940609,0
462,52.30066,4.993364,2258
463,52.324661,4.882904,2258
464,52.362976,4.978894,1440
465,52.35344,4.779509,2258
466,52.362194,4.976391,2258
467,52.392613,4.945214,720
468,52.355966,4.883092,0
469,52.348312,4.901201,2160
470,52.324123,4.887531,2258
471,52.352775,4.866381,1440
472,52.320089,4.989877,2258
473,52.32861,4.979649,2258
474,52.354779,4.878937,2160
475,52.380394,4.810233,2258
476,52.42014,4.894637,4800
477,52.367718,4.830175,2258
478,52.342628,4.806467,2258
479,52.299649,4.994589,0
480,52.299225,4.965435,19920
481,52.374914,4.819952,0
482,52.407797,4.911439,10800
483,52.406266,4.915262,20880
484,52.338945,4.898648,2258
485,52.375078,4.820478,2258
486,52.381113,4.85634,480
487,52.343327,4.826548,2258
488,52.321927,4.988511,2258
489,52.300265,4.972286,2258
490,52.299247,4.992629,2258
491,52.328646,4.979737,2258
492,52.404332,4.897032,1680
493,52.383043,4.851867,18000
494,52.319301,4.988256,2258
495,52.343944,4.805525,2880
