MEETVERANTWOORDELIJKE,NETBEHEERDER,NETGEBIED,STRAATNAAM,POSTCODE_VAN,POSTCODE_TOT,WOONPLAATS,LANDCODE,PRODUCTSOORT,VERBRUIKSSEGMENT,"Aantal Aansluitingen",%Leveringsrichting,"%Fysieke status","%Defintieve aansl (NRM)","%Soort aansluiting","Soort aansluiting Naam",SJV,"%SJV laag tarief","%Slimme Meter","Gemiddeld aantal telwielen"
,"Liander N.V. (NW)",,Oosterdoksstraat,1011DK,1011DL,AMSTERDAM,NL,ELK,KVB,67,100,94.03,100,79,1x35,5635,49.25,49.25,1
,"GAS Liander",,Oosterdokskade,1011DL,1011EA,AMSTERDAM,NL,GAS,KVB,46,100,95.65,100,85,G4,1819,0,26.09,
"Liander N.V.","Liander N.V. (NW)",,Dijkdwarsstraat,1011DZ,1011EA,AMSTERDAM,NL,ELK,KVB,52,100,80.77,100,69,1x25,2780,25,21.15,1.1
,"GAS Liander",,"Recht Boomssloot",1011EB,1011EB,AMSTERDAM,NL,GAS,KVB,21,100,100,100,100,G4,881,0,57.14,
,"Liander N.V. (NW)",,"Recht Boomssloot",1011EB,1011EB,AMSTERDAM,NL,ELK,KVB,24,100,100,100,83,1x25,1551,58.33,58.33,1
"Liander N.V.","GAS Liander",,"Recht Boomssloot",1011EC,1011EC,AMSTERDAM,NL,GAS,KVB,18,100,88.89,100,67,G4,2481,0,5.56,
"Liander N.V.","Liander N.V. (NW)",,"Recht Boomssloot",1011EC,1011EC,AMSTERDAM,NL,ELK,KVB,19,100,89.47,100,47,1x25,7481,21.05,5.26,1.2
,"Liander N.V. (NW)",,"Recht Boomssloot",1011ED,1011ED,AMSTERDAM,NL,ELK,KVB,14,100,100,100,86,1x25,1595,28.57,28.57,1
,"GAS Liander",,"Recht Boomssloot",1011ED,1011ED,AMSTERDAM,NL,GAS,KVB,12,100,100,100,92,G4,1011,0,16.67,
,"Liander N.V. (NW)",,Montelbaanstraat,1011EE,1011EE,AMSTERDAM,NL,ELK,KVB,16,100,100,100,100,1x25,1651,0,0,1
,"GAS Liander",,Montelbaanstraat,1011EE,1011EE,AMSTERDAM,NL,GAS,KVB,16,100,100,100,100,G4,880,0,0,
,"GAS Liander",,Montelbaanstraat,1011EG,1011EG,AMSTERDAM,NL,GAS,KVB,21,100,95.24,100,95,G4,1323,0,0,
,"Liander N.V. (NW)",,Montelbaanstraat,1011EG,1011EG,AMSTERDAM,NL,ELK,KVB,22,100,95.45,100,82,1x25,1682,0,0,1
,"Liander N.V. (NW)",,Geldersekade,1011EH,1011EH,AMSTERDAM,NL,ELK,KVB,39,100,94.87,100,72,1x25,3413,33.33,30.77,1.1
,"GAS Liander",,Geldersekade,1011EH,1011EH,AMSTERDAM,NL,GAS,KVB,34,100,97.06,100,91,G4,1380,0,29.41,
,"GAS Liander",,Geldersekade,1011EJ,1011EJ,AMSTERDAM,NL,GAS,KVB,34,100,100,100,94,G4,1527,0,5.88,
"Liander N.V.","Liander N.V. (NW)",,Geldersekade,1011EJ,1011EJ,AMSTERDAM,NL,ELK,KVB,46,100,89.13,100,41,1x25,5109,10.87,4.35,1.1
"Liander N.V.","Liander N.V. (NW)",,geldersekd,1011EK,1011EK,AMSTERDAM,NL,ELK,KVB,27,100,96.3,100,41,1x25,6368,29.63,25.93,1.1
,"GAS Liander",,Geldersekade,1011EK,1011EK,AMSTERDAM,NL,GAS,KVB,23,100,91.3,100,87,G4,2795,0,26.09,
"Liander N.V.","Liander N.V. (NW)",,Geldersekade,1011EL,1011EL,AMSTERDAM,NL,ELK,KVB,47,100,87.23,100,47,1x25,4884,29.79,21.28,1.1
"Liander N.V.","GAS Liander",,Geldersekade,1011EL,1011EL,AMSTERDAM,NL,GAS,KVB,37,100,89.19,100,89,G4,1235,0,21.62,
,"GAS Liander",,Geldersekade,1011EM,1011EM,AMSTERDAM,NL,GAS,KVB,15,100,93.33,100,80,G4,2541,0,0,
"Liander N.V.","Liander N.V. (NW)",,Geldersekade,1011EM,1011EM,AMSTERDAM,NL,ELK,KVB,23,100,86.96,100,48,1x25,5055,13.04,4.35,1.2
"Liander N.V.","Liander N.V. (NW)",,Geldersekade,1011EN,1011EN,AMSTERDAM,NL,ELK,KVB,30,100,96.67,100,67,1x25,5730,23.33,13.33,1.2
,"GAS Liander",,Geldersekade,1011EN,1011EN,AMSTERDAM,NL,GAS,KVB,25,100,100,100,92,G4,2612,0,8,
,"Liander N.V. (NW)",,Waalsteeg,1011ER,1011ER,AMSTERDAM,NL,ELK,KVB,10,100,100,100,40,1x25,2458,50,50,1
,"GAS Liander",,Waalsteeg,1011ER,1011ER,AMSTERDAM,NL,GAS,KVB,10,100,100,100,100,G4,1668,0,50,
,"Liander N.V. (NW)",,Koningsstraat,1011ES,1011ET,AMSTERDAM,NL,ELK,KVB,42,100,100,100,67,1x25,4587,33.33,26.19,1.1
,"GAS Liander",,Koningsstraat,1011ES,1011ET,AMSTERDAM,NL,GAS,KVB,38,100,100,100,97,G4,1525,0,23.68,
,"Liander N.V. (NW)",,Koningsstraat,1011EV,1011EW,AMSTERDAM,NL,ELK,KVB,47,100,100,100,45,1x35,3785,31.91,31.91,1
,"GAS Liander",,Koningsstraat,1011EV,1011EW,AMSTERDAM,NL,GAS,KVB,44,100,97.73,100,98,G4,1225,0,29.55,
,"Liander N.V. (NW)",,"Korte Koningsstraat",1011EX,1011EX,AMSTERDAM,NL,ELK,KVB,27,100,100,100,63,1x25,2148,37.04,33.33,1.2
,"GAS Liander",,"Korte Koningsstraat",1011EX,1011EX,AMSTERDAM,NL,GAS,KVB,25,100,100,100,96,G4,1192,0,28,
"Liander N.V.","Liander N.V. (NW)",,"Korte Koningsstraat",1011EZ,1011EZ,AMSTERDAM,NL,ELK,KVB,13,100,69.23,100,54,3x25,1696,15.38,15.38,1
,"GAS Liander",,"Korte Koningsstraat",1011EZ,1011GA,AMSTERDAM,NL,GAS,KVB,31,100,96.77,100,97,G4,1026,0,51.61,
"Liander N.V.","Liander N.V. (NW)",,"Korte Koningsstraat",1011GA,1011GA,AMSTERDAM,NL,ELK,KVB,28,100,92.86,100,61,1x25,2309,75,64.29,1.4
