MEETVERANTWOORDELIJKE,NETBEHEERDER,NETGEBIED,STRAATNAAM,POSTCODE_VAN,POSTCODE_TOT,WOONPLAATS,LANDCODE,PRODUCTSOORT,VERBRUIKSSEGMENT,Aantal Aansluitingen,%Leveringsrichting,%Fysieke status,%Defintieve aansl (NRM),%Soort aansluiting,Soort aan,,,,,longitude,latitude
Liander N.V.,Liander N.V. (NW),Liander NW,Krom Boomssloot,1011GT,1011GT,AMSTERDAM,NL,ELK,KVB,13,100,100,100,77,1x25,2827,7.69,0,1.2,52.37077092,4.901538014
Liander N.V.,Liander N.V. (NW),Liander NW,Krom Boomssloot,1011GV,1011GV,AMSTERDAM,NL,ELK,KVB,20,100,85,100,55,3x25,1927,10,0,1.8,52.37235298,4.902470767
Liander N.V.,Liander N.V. (NW),Liander NW,Krom Boomssloot,1011GW,1011GW,AMSTERDAM,NL,ELK,KVB,13,100,92.31,100,46,3x25,7286,7.69,0,1.5,52.37192432,4.902222185
Liander N.V.,Liander N.V. (NW),Liander NW,Krom Boomssloot,1011GX,1011GX,AMSTERDAM,NL,ELK,KVB,17,100,100,100,94,1x25,1341,0,0,1,52.3713856,4.901931423
Liander N.V.,Liander N.V. (NW),Liander NW,Snoekjesgracht,1011GZ,1011GZ,AMSTERDAM,NL,ELK,KVB,38,100,100,100,92,1x25,1534,2.63,0,1,52.37037986,4.901284899
Liander N.V.,Liander N.V. (NW),Liander NW,Snoekjesgracht  ab,1011HA,1011HB,AMSTERDAM,NL,ELK,KVB,224,100,99.11,100,62,1x25,4152,10.71,0,1.8,52.37097709,4.900645513
Liander N.V.,Liander N.V. (NW),Liander NW,Nieuwe Hoogstraat,1011HC,1011HC,AMSTERDAM,NL,ELK,KVB,40,100,85,100,70,1x25,2695,5,0,1.4,52.3708717,4.899513035
Liander N.V.,Liander N.V. (NW),Liander NW,Nieuwe Hoogstraat,1011HD,1011HD,AMSTERDAM,NL,ELK,KVB,21,100,100,100,86,1x25,5085,14.29,0,1.2,52.370712,4.900101934
Liander N.V.,Liander N.V. (NW),Liander NW,Nieuwe Hoogstraat,1011HE,1011HE,AMSTERDAM,NL,ELK,KVB,19,100,100,100,53,1x25,5963,5.26,0,2.1,52.37076902,4.899352595
Liander N.V.,Liander N.V. (NW),Liander NW,Nieuwe Hoogstraat,1011HG,1011HG,AMSTERDAM,NL,ELK,KVB,28,100,100,100,54,3x25,4664,21.43,0,1.5,52.3705376,4.900161992
Liander N.V.,Liander N.V. (NW),Liander NW,Onkelboerensteeg,1011HH,1011HH,AMSTERDAM,NL,ELK,KVB,20,100,100,100,90,3x25,2808,5,0,1.1,52.37058338,4.899395192
Liander N.V.,Liander N.V. (NW),Liander NW,Zandstraat,1011HJ,1011HJ,AMSTERDAM,NL,ELK,KVB,16,100,100,100,50,3x25,2397,12.5,0,1.3,52.37027533,4.899046486
Liander N.V.,Liander N.V. (NW),Liander NW,Zandstraat,1011HK,1011HK,AMSTERDAM,NL,ELK,KVB,10,100,100,100,70,1x25,2730,20,0,1.3,52.37020154,4.898805753
Liander N.V.,Liander N.V. (NW),Liander NW,Zandstraat,1011HL,1011HL,AMSTERDAM,NL,ELK,KVB,21,100,100,100,52,3x25,2361,0,0,1,52.37002617,4.899581275
Liander N.V.,Liander N.V. (NW),Liander NW,Zanddwarsstraat,1011HM,1011HP,AMSTERDAM,NL,ELK,KVB,27,100,92.59,100,81,3x25,2988,0,0,1.4,52.3702986,4.899329842
Liander N.V.,Liander N.V. (NW),Liander NW,Groenburgwal,1011HR,1011HR,AMSTERDAM,NL,ELK,KVB,48,100,97.92,100,77,1x25,4230,6.25,0,1.2,52.36928198,4.898927086
Liander N.V.,Liander N.V. (NW),Liander NW,Groenburgwal,1011HS,1011HS,AMSTERDAM,NL,ELK,KVB,44,100,95.45,100,45,1x25,2698,4.55,0,1.6,52.36860532,4.898275508
Liander N.V.,Liander N.V. (NW),Liander NW,Groenburgwal,1011HT,1011HT,AMSTERDAM,NL,ELK,KVB,21,100,100,100,57,1x25,3109,14.29,0,1.6,52.36798945,4.897744241
Liander N.V.,Liander N.V. (NW),Liander NW,Groenburgwal,1011HV,1011HV,AMSTERDAM,NL,ELK,KVB,22,100,100,100,68,1x25,2324,0,0,1.2,52.36930779,4.898387575
Liander N.V.,Liander N.V. (NW),Liander NW,Groenburgwal,1011HW,1011HW,AMSTERDAM,NL,ELK,KVB,29,100,96.55,100,59,1x25,2458,10.34,0,1.3,52.3688294,4.897965406
Liander N.V.,Liander N.V. (NW),Liander NW,Groenburgwal,1011HX,1011HX,AMSTERDAM,NL,ELK,KVB,13,100,100,100,46,3x25,2561,7.69,0,1.5,52.3680353,4.897235039
Liander N.V.,Liander N.V. (NW),Liander NW,Verversstraat,1011HZ,1011HZ,AMSTERDAM,NL,ELK,KVB,42,100,100,100,69,1x25,3903,16.67,2.38,1.2,52.36893382,4.899155732
Liander N.V.,Liander N.V. (NW),Liander NW,Verversstraat,1011JA,1011JA,AMSTERDAM,NL,ELK,KVB,24,100,95.83,100,58,1x25,2215,4.17,0,1.2,52.36893752,4.898905067
Liander N.V.,Liander N.V. (NW),Liander NW,Zwanenburgwal,1011JB,1011JB,AMSTERDAM,NL,ELK,KVB,40,100,100,100,88,3x25,2272,10,0,1.8,52.36994403,4.901137763
Liander N.V.,Liander N.V. (NW),Liander NW,Zwanenburgwal,1011JB,1011JB,AMSTERDAM,NL,ELK,KVB,40,100,100,100,88,3x25,2272,10,0,1.8,52.36994403,4.901137763,52.36935045,4.901109394
Liander N.V.,Liander N.V. (NW),Liander NW,Zwanenburgwal,1011JC,1011JG,AMSTERDAM,NL,ELK,KVB,22,100,95.45,100,59,3x25,2171,4.55,0,1.2,52.36902259,4.899517235
Liander N.V.,Liander N.V. (NW),Liander NW,Zwanenburgwal,1011JH,1011JH,AMSTERDAM,NL,ELK,KVB,91,100,92.31,100,53,3x25,3837,5.49,0,1.5,52.36843126,4.898842712
Liander N.V.,Liander N.V. (NW),Liander NW,Staalstraat,1011JJ,1011JJ,AMSTERDAM,NL,ELK,KVB,12,100,83.33,100,42,1x25,5919,16.67,0,1.4,52.36834588,4.897139106
Liander N.V.,Liander N.V. (NW),Liander NW,Staalstraat,1011JK,1011JK,AMSTERDAM,NL,ELK,KVB,11,100,90.91,100,64,3x25,8146,18.18,0,1.4,52.36827113,4.898188296
Liander N.V.,Liander N.V. (NW),Liander NW,Staalstraat,1011JL,1011JL,AMSTERDAM,NL,ELK,KVB,29,100,100,100,66,1x25,8837,17.24,0,1.4,52.36821489,4.896984492
Liander N.V.,Liander N.V. (NW),Liander NW,Staalstraat,1011JM,1011JM,AMSTERDAM,NL,ELK,KVB,13,100,84.62,100,69,1x25,5639,7.69,0,1.7,52.36813923,4.898125775
Liander N.V.,Liander N.V. (NW),Liander NW,Staalkade,1011JN,1011JN,AMSTERDAM,NL,ELK,KVB,18,100,100,100,61,1x25,4097,5.56,0,1.3,52.3677589,4.897843187
Liander N.V.,Liander N.V. (NW),Liander NW,Nieuwmarkt,1011JP,1011JP,AMSTERDAM,NL,ELK,KVB,14,100,100,100,43,3x25,8766,28.57,0,1.5,52.37262819,4.901055119
Liander N.V.,Liander N.V. (NW),Liander NW,Nieuwmarkt,1011JR,1011JR,AMSTERDAM,NL,ELK,KVB,13,100,100,100,85,1x25,8173,15.38,0,1.2,52.3724527,4.900924883
Liander N.V.,Liander N.V. (NW),Liander NW,Nieuwmarkt,1011JS,1011JT,AMSTERDAM,NL,ELK,KVB,26,100,88.46,100,42,1x25,13739,15.38,0,1.8,52.37180408,4.899992752
Liander N.V.,Liander N.V. (NW),Liander NW,Kloveniersburgwal,1011JV,1011JV,AMSTERDAM,NL,ELK,KVB,18,100,94.44,100,39,1x25,2298,5.56,0,1.2,52.37139185,4.899639427
