MEETVERANTWOORDELIJKE,NETBEHEERDER,NETGEBIED,STRAATNAAM,POSTCODE_VAN,POSTCODE_TOT,WOONPLAATS,LANDCODE,PRODUCTSOORT,VERBRUIKSSEGMENT,Aantal Aansluitingen,%Leveringsrichting,%Fysieke status,%Defintieve aansl (NRM),%Soort aansluiting,Soort aan,,,,,longitude,latitude
Liander N.V.,Liander N.V. (NW),Liander NW,Nieuwe Hoogstraat,1011HC,1011HC,AMSTERDAM,NL,ELK,KVB,40,100,100,100,95,3x25,3323,7.5,0,1.4,52.3708717,4.899513035
Liander N.V.,Liander N.V. (NW),Liander NW,Nieuwe Hoogstraat,1011HD,1011HD,AMSTERDAM,NL,ELK,KVB,21,100,100,100,100,3x25,4885,14.29,0,1.2,52.370712,4.900101934
Liander N.V.,Liander N.V. (NW),Liander NW,Nieuwe Hoogstraat,1011HE,1011HE,AMSTERDAM,NL,ELK,KVB,18,100,100,100,94,3x25,6562,5.56,0,1.5,52.37076902,4.899352595
Liander N.V.,Liander N.V. (NW),Liander NW,Nieuwe Hoogstraat,1011HG,1011HG,AMSTERDAM,NL,ELK,KVB,28,100,100,100,100,3x25,5147,21.43,0,1.5,52.3705376,4.900161992
Liander N.V.,Liander N.V. (NW),Liander NW,Onkelboerensteeg,1011HH,1011HH,AMSTERDAM,NL,ELK,KVB,20,100,100,100,100,3x25,2137,5,0,1.1,52.37058338,4.899395192
Liander N.V.,Liander N.V. (NW),Liander NW,Zandstraat,1011HJ,1011HJ,AMSTERDAM,NL,ELK,KVB,16,100,100,100,94,3x25,2824,6.25,0,1.3,52.37027533,4.899046486
Liander N.V.,Liander N.V. (NW),Liander NW,Zandstraat,1011HK,1011HK,AMSTERDAM,NL,ELK,KVB,10,100,100,100,100,3x25,2741,10,0,1.3,52.37020154,4.898805753
Liander N.V.,Liander N.V. (NW),Liander NW,Zandstraat,1011HL,1011HL,AMSTERDAM,NL,ELK,KVB,21,100,100,100,100,3x25,1918,0,0,1,52.37002617,4.899581275
Liander N.V.,Liander N.V. (NW),Liander NW,Zanddwarsstraat,1011HM,1011HP,AMSTERDAM,NL,ELK,KVB,27,100,96.3,100,96,3x25,2748,0,0,1.3,52.3702986,4.899329842
Liander N.V.,Liander N.V. (NW),Liander NW,Groenburgwal,1011HR,1011HR,AMSTERDAM,NL,ELK,KVB,48,100,97.92,100,94,3x25,4042,4.17,0,1.2,52.36928198,4.898927086
Liander N.V.,Liander N.V. (NW),Liander NW,Groenburgwal,1011HS,1011HS,AMSTERDAM,NL,ELK,KVB,44,100,95.45,100,95,3x25,2730,4.55,0,1.5,52.36860532,4.898275508
Liander N.V.,Liander N.V. (NW),Liander NW,Groenburgwal,1011HT,1011HT,AMSTERDAM,NL,ELK,KVB,21,100,100,100,90,3x25,2785,14.29,0,1.5,52.36798945,4.897744241
Liander N.V.,Liander N.V. (NW),Liander NW,Groenburgwal,1011HV,1011HV,AMSTERDAM,NL,ELK,KVB,22,100,100,100,100,3x25,2700,0,0,1.2,52.36930779,4.898387575
Liander N.V.,Liander N.V. (NW),Liander NW,Groenburgwal,1011HW,1011HW,AMSTERDAM,NL,ELK,KVB,28,100,96.43,100,96,3x25,2533,10.71,0,1.3,52.3688294,4.897965406
Liander N.V.,Liander N.V. (NW),Liander NW,Groenburgwal,1011HX,1011HX,AMSTERDAM,NL,ELK,KVB,13,100,100,100,92,3x25,2856,0,0,1.5,52.3680353,4.897235039
Liander N.V.,Liander N.V. (NW),Liander NW,Verversstraat,1011HZ,1011HZ,AMSTERDAM,NL,ELK,KVB,42,100,100,100,95,3x25,4023,7.14,0,1.2,52.36893382,4.899155732
