MEETVERANTWOORDELIJKE,NETBEHEERDER,NETGEBIED,STRAATNAAM,POSTCODE_VAN,POSTCODE_TOT,WOONPLAATS,LANDCODE,PRODUCTSOORT,VERBRUIKSSEGMENT,Aantal Aansluitingen,%Leveringsrichting,%Fysieke status,%Defintieve aansl (NRM),%Soort aansluiting,Soort aan,,,,
Liander N.V.,Liander N.V. (NW),Liander NW,Korte Koningsstraat,1011GA,1011GA,AMSTERDAM,NL,ELK,KVB,28,100,92.86,100,75,1x25,2634,14.29,0,1.2
Liander N.V.,Liander N.V. (NW),Liander NW,Korte Koningsdwarsstraat,1011GB,1011GC,AMSTERDAM,NL,ELK,KVB,21,100,76.19,100,57,1x25,1946,0,0,1.3
Liander N.V.,Liander N.V. (NW),Liander NW,Keizersstraat,1011GD,1011GD,AMSTERDAM,NL,ELK,KVB,52,100,98.08,100,56,1x35,2561,19.23,17.31,1.1
Liander N.V.,Liander N.V. (NW),Liander NW,Korte Keizersstraat,1011GG,1011GG,AMSTERDAM,NL,ELK,KVB,22,100,100,100,73,1x25,1538,4.55,0,1.1
Liander N.V.,Liander N.V. (NW),Liander NW,Korte Keizersstraat,1011GH,1011GH,AMSTERDAM,NL,ELK,KVB,24,100,100,100,71,1x25,1406,0,0,1
Liander N.V.,Liander N.V. (NW),Liander NW,Korte Keizersdwarsstraat,1011GJ,1011GJ,AMSTERDAM,NL,ELK,KVB,18,100,100,100,83,1x25,2285,0,0,1
Liander N.V.,Liander N.V. (NW),Liander NW,Kleersloot,1011GK,1011GL,AMSTERDAM,NL,ELK,KVB,92,100,96.74,100,63,1x25,2038,5.43,1.09,1.2
Liander N.V.,Liander N.V. (NW),Liander NW,Korte Dijkstraat,1011GM,1011GM,AMSTERDAM,NL,ELK,KVB,21,100,95.24,100,67,1x25,2193,23.81,19.05,1.1
Liander N.V.,Liander N.V. (NW),Liander NW,Brandewijnsteeg,1011GN,1011GN,AMSTERDAM,NL,ELK,KVB,26,100,100,100,96,1x25,2086,11.54,11.54,1.2
Liander N.V.,Liander N.V. (NW),Liander NW,Krom Boomssloot,1011GP,1011GP,AMSTERDAM,NL,ELK,KVB,13,100,100,100,77,1x25,1258,0,0,1
Liander N.V.,Liander N.V. (NW),Liander NW,Krom Boomssloot,1011GR,1011GR,AMSTERDAM,NL,ELK,KVB,33,100,100,100,52,1x25,1916,9.09,0,1.5
Liander N.V.,Liander N.V. (NW),Liander NW,Krom Boomssloot,1011GS,1011GS,AMSTERDAM,NL,ELK,KVB,42,100,95.24,100,43,1x25,4753,11.9,0,1.1
Liander N.V.,Liander N.V. (NW),Liander NW,Krom Boomssloot,1011GT,1011GT,AMSTERDAM,NL,ELK,KVB,13,100,100,100,77,1x25,2706,7.69,0,1.2
Liander N.V.,Liander N.V. (NW),Liander NW,Krom Boomssloot,1011GV,1011GV,AMSTERDAM,NL,ELK,KVB,20,100,85,100,45,3x25,1960,10,0,1.3
Liander N.V.,Liander N.V. (NW),Liander NW,Krom Boomssloot,1011GW,1011GW,AMSTERDAM,NL,ELK,KVB,13,100,92.31,100,46,3x25,6248,7.69,0,1.3
Liander N.V.,Liander N.V. (NW),Liander NW,Krom Boomssloot,1011GX,1011GX,AMSTERDAM,NL,ELK,KVB,17,100,100,100,94,1x25,1211,0,0,1
Liander N.V.,Liander N.V. (NW),Liander NW,Snoekjesgracht,1011GZ,1011GZ,AMSTERDAM,NL,ELK,KVB,38,100,100,100,95,1x25,1313,0,0,1
Liander N.V.,Liander N.V. (NW),Liander NW,Snoekjesgracht  ab,1011HA,1011HB,AMSTERDAM,NL,ELK,KVB,227,100,97.8,100,60,1x25,3533,23.79,13.22,1.3
Liander N.V.,Liander N.V. (NW),Liander NW,Nieuwe Hoogstraat,1011HC,1011HC,AMSTERDAM,NL,ELK,KVB,59,100,77.97,100,49,1x25,3266,16.95,13.56,1.1
Liander N.V.,Liander N.V. (NW),Liander NW,Nieuwe Hoogstraat,1011HD,1011HD,AMSTERDAM,NL,ELK,KVB,35,100,65.71,100,51,1x25,6203,40,31.43,1.2
Liander N.V.,Liander N.V. (NW),Liander NW,Nieuwe Hoogstraat,1011HE,1011HE,AMSTERDAM,NL,ELK,KVB,19,100,100,100,37,1x25,6772,26.32,21.05,1.3
Liander N.V.,Liander N.V. (NW),Liander NW,Nieuwe Hoogstraat,1011HG,1011HG,AMSTERDAM,NL,ELK,KVB,28,100,100,100,54,3x25,4761,21.43,0,1.3
Liander N.V.,Liander N.V. (NW),Liander NW,Onkelboerensteeg,1011HH,1011HH,AMSTERDAM,NL,ELK,KVB,20,100,100,100,90,3x25,2350,5,0,1.1
Liander N.V.,Liander N.V. (NW),Liander NW,Zandstraat,1011HJ,1011HJ,AMSTERDAM,NL,ELK,KVB,16,100,100,100,50,3x25,2496,12.5,0,1.1
Liander N.V.,Liander N.V. (NW),Liander NW,Zandstraat,1011HK,1011HK,AMSTERDAM,NL,ELK,KVB,10,100,100,100,70,1x25,2747,20,0,1.2
Liander N.V.,Liander N.V. (NW),Liander NW,Zandstraat,1011HL,1011HL,AMSTERDAM,NL,ELK,KVB,21,100,100,100,52,3x25,1890,0,0,1
Liander N.V.,Liander N.V. (NW),Liander NW,Zanddwarsstraat,1011HM,1011HP,AMSTERDAM,NL,ELK,KVB,27,100,92.59,100,78,3x25,3201,0,0,1.1
Liander N.V.,Liander N.V. (NW),Liander NW,Groenburgwal,1011HR,1011HR,AMSTERDAM,NL,ELK,KVB,48,100,100,100,77,1x25,4280,6.25,0,1.1
Liander N.V.,Liander N.V. (NW),Liander NW,Groenburgwal,1011HS,1011HS,AMSTERDAM,NL,ELK,KVB,44,100,95.45,100,41,1x25,2702,11.36,9.09,1.1
Liander N.V.,Liander N.V. (NW),Liander NW,Groenburgwal,1011HT,1011HT,AMSTERDAM,NL,ELK,KVB,21,100,100,100,57,1x25,2972,14.29,0,1.2
Liander N.V.,Liander N.V. (NW),Liander NW,Groenburgwal,1011HV,1011HV,AMSTERDAM,NL,ELK,KVB,22,100,100,100,59,1x25,2466,0,0,1
Liander N.V.,Liander N.V. (NW),Liander NW,Groenburgwal,1011HW,1011HW,AMSTERDAM,NL,ELK,KVB,29,100,96.55,100,59,1x25,2208,10.34,0,1.1
Liander N.V.,Liander N.V. (NW),Liander NW,Groenburgwal,1011HX,1011HX,AMSTERDAM,NL,ELK,KVB,13,100,92.31,100,54,1x25,2036,7.69,0,1.1
Liander N.V.,Liander N.V. (NW),Liander NW,Verversstraat,1011HZ,1011HZ,AMSTERDAM,NL,ELK,KVB,42,100,100,100,69,1x25,3974,16.67,2.38,1.1
Liander N.V.,Liander N.V. (NW),Liander NW,Verversstraat,1011JA,1011JA,AMSTERDAM,NL,ELK,KVB,24,100,95.83,100,58,1x25,2094,4.17,0,1
Liander N.V.,Liander N.V. (NW),Liander NW,Zwanenburgwal,1011JB,1011JB,AMSTERDAM,NL,ELK,KVB,40,100,100,100,85,3x25,2244,7.5,0,1.1
Liander N.V.,Liander N.V. (NW),Liander NW,Zwanenburgwal,1011JC,1011JG,AMSTERDAM,NL,ELK,KVB,22,100,95.45,100,55,3x25,2196,4.55,0,1.1
Liander N.V.,Liander N.V. (NW),Liander NW,Zwanenburgwal,1011JH,1011JH,AMSTERDAM,NL,ELK,KVB,97,100,90.72,100,45,3x25,4062,5.15,1.03,1.1
Liander N.V.,Liander N.V. (NW),Liander NW,Staalstraat,1011JJ,1011JJ,AMSTERDAM,NL,ELK,KVB,12,100,83.33,100,42,1x25,6029,16.67,0,1.4
Liander N.V.,Liander N.V. (NW),Liander NW,Staalstraat,1011JK,1011JK,AMSTERDAM,NL,ELK,KVB,11,100,90.91,100,64,3x25,7498,18.18,0,1.2
Liander N.V.,Liander N.V. (NW),Liander NW,Staalstraat,1011JL,1011JL,AMSTERDAM,NL,ELK,KVB,30,100,96.67,100,63,1x25,7590,20,3.33,1.2
Liander N.V.,Liander N.V. (NW),Liander NW,Staalstraat,1011JM,1011JM,AMSTERDAM,NL,ELK,KVB,14,100,71.43,100,64,1x25,5516,14.29,7.14,1.1
Liander N.V.,Liander N.V. (NW),Liander NW,Staalkade,1011JN,1011JN,AMSTERDAM,NL,ELK,KVB,18,100,100,100,61,1x25,3812,5.56,0,1.1
Liander N.V.,Liander N.V. (NW),Liander NW,Nieuwmarkt,1011JP,1011JP,AMSTERDAM,NL,ELK,KVB,14,100,92.86,100,43,3x25,9210,50,28.57,1.3
Liander N.V.,Liander N.V. (NW),Liander NW,Nieuwmarkt,1011JR,1011JR,AMSTERDAM,NL,ELK,KVB,13,100,100,100,85,1x25,8133,15.38,0,1.2
Liander N.V.,Liander N.V. (NW),Liander NW,Nieuwmarkt,1011JS,1011JT,AMSTERDAM,NL,ELK,KVB,27,100,85.19,100,33,3x25,12677,14.81,0,1.2
Liander N.V.,Liander N.V. (NW),Liander NW,Kloveniersburgwal,1011JV,1011JV,AMSTERDAM,NL,ELK,KVB,18,100,94.44,100,39,1x25,2165,5.56,0,1.1
Liander N.V.,Liander N.V. (NW),Liander NW,Kloveniersburgwal,1011JW,1011JW,AMSTERDAM,NL,ELK,KVB,10,100,100,100,50,1x25,7709,40,0,1.7
